"Time (s)","Acceleration x (m/s^2)","Acceleration y (m/s^2)","Acceleration z (m/s^2)","Absolute acceleration (m/s^2)"
5.075165020E-1,2.633621916E-2,1.101332754E-1,9.847352028E0,9.848003092E0
5.094560380E-1,3.591302410E-2,1.053448766E-1,9.835380554E0,9.836010265E0
5.115142400E-1,3.591302410E-2,1.077390760E-1,9.821015358E0,9.821671961E0
5.133486540E-1,2.873042040E-2,1.125274822E-1,9.818621635E0,9.819308463E0
5.155119780E-1,1.915361360E-2,1.149216816E-1,9.818621635E0,9.819312841E0
5.172970380E-1,2.633621916E-2,1.077390760E-1,9.818621635E0,9.819248043E0
5.194791990E-1,1.436521020E-2,1.053448766E-1,9.842563629E0,9.843137848E0
5.212899230E-1,1.436521020E-2,1.053448766E-1,9.842563629E0,9.843137848E0
5.234769370E-1,3.112462163E-2,9.816227108E-2,9.847352028E0,9.847890461E0
5.253311150E-1,7.182605099E-3,1.029506698E-1,9.840168953E0,9.840710109E0
5.274746750E-1,9.576806799E-3,9.816227108E-2,9.832986832E0,9.833481458E0
5.293572690E-1,7.182605099E-3,9.576806426E-2,9.823410034E0,9.823879468E0
5.314418960E-1,2.394201700E-3,1.173158810E-1,9.830592155E0,9.831292432E0
5.332590000E-1,7.182605099E-3,1.029506698E-1,9.830592155E0,9.831133839E0
5.354396330E-1,1.675941236E-2,8.619125932E-2,9.830592155E0,9.830984281E0
5.372397690E-1,2.633621916E-2,9.576806426E-2,9.830592155E0,9.831093899E0
5.394373710E-1,2.394201607E-2,9.097966552E-2,9.830592155E0,9.831042297E0
5.412544230E-1,1.675941236E-2,8.858546615E-2,9.837775230E0,9.838188337E0
5.434045920E-1,-2.394201700E-3,6.464344263E-2,9.835380554E0,9.835593279E0
5.452370000E-1,7.182605099E-3,6.464344263E-2,9.830592155E0,9.830807316E0
5.474023300E-1,-7.182605099E-3,6.703764945E-2,9.821015358E0,9.821246779E0
5.493204230E-1,-4.788403399E-3,6.703764945E-2,9.816226959E0,9.816457033E0
5.514000680E-1,2.394201700E-3,6.943184882E-2,9.811438560E0,9.811684521E0
5.532055770E-1,0.000000000E0,7.900865376E-2,9.818621635E0,9.818939514E0
5.553672890E-1,9.576806799E-3,8.140286058E-2,9.816226959E0,9.816569149E0
5.572023070E-1,2.154781483E-2,1.029506698E-1,9.813833237E0,9.814396871E0
5.593650270E-1,9.576806799E-3,9.097966552E-2,9.816226959E0,9.816653235E0
5.611840000E-1,9.576806799E-3,7.900865376E-2,9.816226959E0,9.816549587E0
5.633627640E-1,9.576806799E-3,5.506663769E-2,9.799467087E0,9.799626484E0
5.652280380E-1,1.675941236E-2,6.703764945E-2,9.799467087E0,9.799710716E0
5.673605020E-1,2.394201607E-2,6.943184882E-2,9.809044838E0,9.809319785E0
5.692829610E-1,2.633621916E-2,7.422025502E-2,9.806650162E0,9.806966383E0
5.713277230E-1,2.154781483E-2,8.619125932E-2,9.825803757E0,9.826205407E0
5.732121920E-1,2.633621916E-2,7.661445439E-2,9.825803757E0,9.826137738E0
5.753254610E-1,1.675941236E-2,8.379705995E-2,9.813833237E0,9.814205298E0
5.771381540E-1,2.394201700E-3,7.422025502E-2,9.799467087E0,9.799748444E0
5.793232000E-1,1.436521020E-2,7.182604820E-2,9.809044838E0,9.809318324E0
5.812297690E-1,1.436521020E-2,7.182604820E-2,9.809044838E0,9.809318324E0
5.832904200E-1,2.394201607E-2,6.703764945E-2,9.794678688E0,9.794937359E0
5.851473070E-1,1.436521020E-2,7.182604820E-2,9.794678688E0,9.794952575E0
5.872881580E-1,9.576806799E-3,7.422025502E-2,9.797073364E0,9.797359178E0
5.892215380E-1,1.915361360E-2,8.140286058E-2,9.816226959E0,9.816583163E0
5.912858960E-1,3.112462163E-2,9.576806426E-2,9.816226959E0,9.816743451E0
5.931136920E-1,3.830722719E-2,1.053448766E-1,9.811438560E0,9.812078863E0
5.952531170E-1,2.394201607E-2,9.337386489E-2,9.813833237E0,9.814306634E0
5.970698070E-1,4.548983276E-2,9.816227108E-2,9.804255486E0,9.804852410E0
5.992508540E-1,4.070143029E-2,1.005564705E-1,9.801861763E0,9.802462049E0
6.010820380E-1,3.591302410E-2,9.337386489E-2,9.816226959E0,9.816736736E0
6.032485930E-1,4.548983276E-2,8.140286058E-2,9.816226959E0,9.816669877E0
6.051274230E-1,4.309562966E-2,8.379705995E-2,9.816226959E0,9.816679219E0
6.072158130E-1,3.591302410E-2,9.337386489E-2,9.811438560E0,9.811948586E0
6.091544610E-1,2.873042040E-2,1.005564705E-1,9.825803757E0,9.826360288E0
6.112135510E-1,3.351882473E-2,9.816227108E-2,9.828198433E0,9.828745789E0
6.130120380E-1,2.394201607E-2,9.816227108E-2,9.830592155E0,9.831111391E0
6.152112900E-1,2.154781483E-2,9.337386489E-2,9.828198433E0,9.828665597E0
6.170201150E-1,3.830722719E-2,9.576806426E-2,9.832986832E0,9.833527800E0
6.191785100E-1,3.112462163E-2,1.077390760E-1,9.837775230E0,9.838414401E0
6.209918840E-1,5.027823523E-2,9.337386489E-2,9.842563629E0,9.843134936E0
6.231762480E-1,3.591302410E-2,9.097966552E-2,9.844957352E0,9.845443225E0
6.249895770E-1,3.830722719E-2,9.097966552E-2,9.842563629E0,9.843058647E0
6.271739860E-1,5.506663769E-2,8.858546615E-2,9.847352028E0,9.847904431E0
6.290682300E-1,3.351882473E-2,7.422025502E-2,9.856928825E0,9.857265241E0
6.311412060E-1,3.351882473E-2,8.619125932E-2,9.852140427E0,9.852574457E0
6.329597690E-1,4.070143029E-2,8.858546615E-2,9.852140427E0,9.852622746E0
6.351389440E-1,2.873042040E-2,8.379705995E-2,9.844957352E0,9.845355892E0
6.369446920E-1,3.112462163E-2,8.379705995E-2,9.830592155E0,9.830998567E0
6.391366830E-1,3.591302410E-2,9.337386489E-2,9.832986832E0,9.833495739E0
6.409435770E-1,4.548983276E-2,9.576806426E-2,9.842563629E0,9.843134645E0
